Date,Beta,P/S,P/B,P/E,EPS,ROE,ROA,ROC
29/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
30/11/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
1/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
2/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
3/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
4/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
5/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
6/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
7/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
8/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
9/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
10/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
11/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
12/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
13/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
14/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
15/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
16/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
17/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
18/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
19/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
20/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
21/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
22/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
23/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
24/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
25/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
26/12/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
